employee_id,Role,staff_designation_category.id
MCENT0031,Receptionist,2
MCENT0032,Receptionist,2
MCENT0034,Receptionist,2
MCENT0035,Receptionist,2
MCENT0036,Receptionist,2
MCENT0037,Receptionist,2
MCENT0038,Receptionist,2
MCENT0040,Receptionist,2
MCENT0043,Receptionist,2
MCE2025OFF007,Accountant,2
MCE2025MCA10,Receptionist,2
MCE2025OFF008,Accountant,2
MCE2025NT006,Receptionist,2
MCE2024OFF014,Receptionist,2
MCE2025LIB005,Receptionist,2
MCENT0044,Receptionist,2
MCENT0045,Receptionist,2
MCENT0061,Receptionist,2
MAT001,Receptionist,3
MCE2025NT060,Receptionist,2
MCE2025NT062,Receptionist,2
MCE2025NT063,Receptionist,2
MCE2025NT064,Receptionist,2
MCE2025MCA09,,1
MCE2025MCA11,,1
MCE2025AR051,,1
MCE2025AR052,,1
MCE2025SH46,,1
MCE2025EEE12,,1
MCE2025ME12,,1
MCE2025SH47,,1
MCE2025MCA12,Teacher,1
MCE2026AIDS01,Teacher,1
MCE2026AIML01,Teacher,1
MCE2026AIML02,Teacher,1
MCE2026AIML03,Teacher,1
MCE2026ECE001,Teacher,1
MCE2026ECE002,Teacher,1
MCE2026IT002,Teacher,1
MCE2026IT003,Teacher,1
MCE2026MECH01,Teacher,1
MCE2026MECH02,Teacher,1
MCE2026MECH03,Teacher,1
MCE2026AR004,Teacher,1
MCE2026AR005,Teacher,1
MCE2026AR006,Teacher,1
MCE2026AR007,Teacher,1
MCE2026AR008,Teacher,1
MCE2026AR009,Teacher,1
MCE2026AR010,Teacher,1
MCE2026PED001,Teacher,1
MCE2026MCA01,Teacher,1
MCE2026EIE01,Teacher,1
MCE2025AIML05,Teacher,1
MCE2025IT040,Teacher,1
MCE2026CSE036,Teacher,1
MCE2026ME13,Teacher,1
MCE2026ME14,Teacher,1
MCE2025PL001,Teacher,1
MCENT0056,Teacher,2
MCE2026MBA19,Teacher,1
MCE2025MAT010,Teacher,3
MCE2025OFF09,Teacher,2
MCENT0015,Teacher,3
MCE2025NT070,Teacher,2
MCEN2026OFF015,Teacher,2
MCE2010NT059,Teacher,2
MCE2026NT002,Teacher,2
MCE2025NT069,Teacher,2
MCE2009OFF001,Teacher,2
MCE2025NT065,Teacher,2
MCE2025NT066,Teacher,2
MCE2026OFF10,Teacher,2
MCE2026OFF11,Teacher,2
MCE2026OFF12,Teacher,2
MCENT0051,Teacher,2
MCENT0057,Teacher,2
MCENT0055,Teacher,2
MCENT0049,Teacher,2
MCENT0048,Teacher,2
MCE2025MAT009,Teacher,3
MCE2025MAT008,Teacher,3
MCE2025OFF012,Teacher,2
MCE2026NT003,Teacher,2
MCE2025NT068,Teacher,2
MCET0046,Teacher,2
MCEN2026OFF016,Teacher,2
MCE2025MAT011,Teacher,3
MCE2025MAT012,Teacher,3
MCE2025MAT013,Teacher,3
MCE2025MAT014,Teacher,3
